,time stamp,num_devide,accuracy,legend
0,2020/07/05 09:10:26,1,0.8637,unfreeze_level_3
1,2020/07/05 09:10:28,2,0.6031,unfreeze_level_3
2,2020/07/05 09:10:31,3,0.4815,unfreeze_level_3
3,2020/07/05 09:10:33,4,0.3839,unfreeze_level_3
4,2020/07/05 09:10:35,5,0.3113,unfreeze_level_3
5,2020/07/05 09:10:37,6,0.2726,unfreeze_level_3
6,2020/07/05 09:10:39,7,0.2436,unfreeze_level_3
7,2020/07/05 09:10:41,8,0.2228,unfreeze_level_3
8,2020/07/05 09:10:44,9,0.2163,unfreeze_level_3
9,2020/07/05 09:10:46,10,0.2097,unfreeze_level_3
